Provinsi,Sekolah,Siswa,Mengulang,Putus Sekolah,Kepala Sekolah & Guru,Tenaga Kependidikan,Rombel,Ruang Kelas,Status
Prov. D.K.I. Jakarta,1305,540938,915,695,22899,2443,18247,17197,Negeri
Prov. Jawa Barat,17104,3891806,4563,5080,162220,11771,144349,127023,Negeri
Prov. Jawa Tengah,17298,2280299,6696,2166,137177,9996,113671,118675,Negeri
Prov. D.I. Yogyakarta,1422,186752,308,43,13190,1900,9815,10328,Negeri
Prov. Jawa Timur,16902,2130520,4172,2579,143558,10282,115931,120304,Negeri
Prov. Aceh,3335,451761,1376,846,43588,3314,24092,25133,Negeri
Prov. Sumatera Utara,8167,1177930,4182,3509,85601,5807,60500,63853,Negeri
Prov. Sumatera Barat,3892,521822,4534,781,39668,5045,28326,29424,Negeri
Prov. Riau,3230,633978,4092,1096,40524,3624,29051,28435,Negeri
Prov. Jambi,2304,333373,1907,769,23366,2481,17340,18069,Negeri
Prov. Sumatera Selatan,4249,792830,6311,1838,51531,5072,36547,34016,Negeri
Prov. Lampung,4297,715542,2328,710,48214,3246,34443,33929,Negeri
Prov. Kalimantan Barat,4140,499855,9504,1202,33093,2117,28644,27925,Negeri
Prov. Kalimantan Tengah,2414,232325,2588,632,21096,969,15778,16449,Negeri
Prov. Kalimantan Selatan,2738,318461,3104,492,25182,2305,19180,20102,Negeri
Prov. Kalimantan Timur,1657,351594,1953,587,21058,2877,15718,14886,Negeri
Prov. Sulawesi Utara,1347,135222,466,273,12627,354,8871,9218,Negeri
Prov. Sulawesi Tengah,2675,284498,2835,966,23648,3726,17524,18768,Negeri
Prov. Sulawesi Selatan,6070,809775,3239,1530,59968,6638,43438,43624,Negeri
Prov. Sulawesi Tenggara,2256,280639,1622,748,24440,1879,16182,16460,Negeri
Prov. Maluku,1277,148862,1251,716,13074,1021,8520,9082,Negeri
Prov. Bali,2254,342112,178,154,20659,3774,15623,15874,Negeri
Prov. Nusa Tenggara Barat,3008,472151,1443,1089,37975,2425,21960,21428,Negeri
Prov. Nusa Tenggara Timur,3396,414756,5757,1677,35174,3394,24024,26635,Negeri
Prov. Papua,487,67324,1149,394,4313,243,3580,3471,Negeri
Prov. Bengkulu,1289,172400,1287,347,13815,1235,9519,10538,Negeri
Prov. Maluku Utara,1111,118277,1018,567,10225,712,7189,7563,Negeri
Prov. Banten,3853,1009060,2389,1584,42576,3042,36073,31740,Negeri
Prov. Kepulauan Bangka Belitung,761,144910,1188,313,8035,1826,6133,6683,Negeri
Prov. Gorontalo,897,103429,1445,443,7408,821,5850,6491,Negeri
Prov. Kepulauan Riau,683,154046,602,281,9009,1672,6743,5942,Negeri
Prov. Papua Barat,406,48434,1228,301,3656,161,2874,2736,Negeri
Prov. Sulawesi Barat,1297,138490,1089,443,12513,2082,8782,8968,Negeri
Prov. Kalimantan Utara,437,69906,337,169,5162,598,3691,3547,Negeri
Luar Negeri,83,11918,47,81,349,10,625,544,Negeri
Prov. Papua Tengah,291,70019,1783,470,2615,78,2596,2282,Negeri
Prov. Papua Selatan,372,56014,2834,580,2431,82,2610,2327,Negeri
Prov. Papua Pegunungan,513,109443,3573,708,2609,53,3898,3273,Negeri
Prov. Papua Barat Daya,302,35284,925,222,3216,88,2208,2065,Negeri
Prov. D.K.I. Jakarta,919,215517,287,174,14550,1825,9583,11071,Swasta
Prov. Jawa Barat,2449,595456,215,595,34654,3649,25355,27404,Swasta
Prov. Jawa Tengah,1320,314751,213,233,16067,1903,13595,14509,Swasta
